Date,AAPL,AMZN,FB,GOOG,NFLX
2021-06-21,131.54844665527344,172.697998046875,332.2900085449219,2529.10009765625,497.0
2021-06-22,133.21888732910156,175.27200317382812,339.0299987792969,2539.989990234375,508.82000732421875
2021-06-23,132.9404754638672,175.1909942626953,340.5899963378906,2529.22998046875,512.739990234375
2021-06-24,132.65213012695312,172.45399475097656,343.17999267578125,2545.639892578125,518.0599975585938
2021-06-25,132.35385131835938,170.072998046875,341.3699951171875,2539.89990234375,527.0700073242188
2021-06-28,134.0143585205078,172.1945037841797,355.6400146484375,2536.389892578125,533.030029296875
2021-06-29,135.55555725097656,172.40699768066406,351.8900146484375,2520.3701171875,533.5
2021-06-30,136.1819610595703,172.00799560546875,347.7099914550781,2506.320068359375,528.2100219726562
2021-07-01,136.4901885986328,171.64849853515625,354.3900146484375,2527.3701171875,533.5399780273438
2021-07-02,139.1649169921875,175.5489959716797,354.70001220703125,2574.3798828125,533.97998046875
2021-07-06,141.2132110595703,183.78700256347656,352.7799987792969,2595.419921875,541.6400146484375
2021-07-07,143.7487335205078,184.82899475097656,350.489990234375,2601.550048828125,535.9600219726562
2021-07-08,142.42628479003906,186.57049560546875,345.6499938964844,2583.5400390625,530.760009765625
2021-07-09,144.28567504882812,185.9669952392578,350.4200134277344,2591.489990234375,535.97998046875
2021-07-12,143.6791229248047,185.92750549316406,353.1600036621094,2611.280029296875,537.3099975585938
2021-07-13,144.81265258789062,183.8679962158203,352.0899963378906,2619.889892578125,540.6799926757812
2021-07-14,148.30270385742188,184.08399963378906,347.6300048828125,2641.64990234375,547.9500122070312
2021-07-15,147.6365203857422,181.55999755859375,344.4599914550781,2625.330078125,542.9500122070312
2021-07-16,145.55838012695312,178.68150329589844,341.1600036621094,2636.909912109375,530.3099975585938
2021-07-19,141.64076232910156,177.47950744628906,336.95001220703125,2585.080078125,532.280029296875
2021-07-20,145.3197479248047,178.6595001220703,341.6600036621094,2622.030029296875,531.0499877929688
2021-07-21,144.5740203857422,179.25999450683594,346.2300109863281,2652.010009765625,513.6300048828125
2021-07-22,145.966064453125,181.90150451660156,351.19000244140625,2666.570068359375,511.7699890136719
2021-07-23,147.716064453125,182.83200073242188,369.7900085449219,2756.320068359375,515.4099731445312
2021-07-26,148.14361572265625,184.99099731445312,372.4599914550781,2792.889892578125,516.489990234375
2021-07-27,145.9362335205078,181.3195037841797,367.80999755859375,2735.929931640625,518.9099731445312
2021-07-28,144.15638732910156,181.51600646972656,373.2799987792969,2727.6298828125,519.2999877929688
2021-07-29,144.81265258789062,179.99600219726562,358.32000732421875,2730.81005859375,514.25
2021-07-30,145.03138732910156,166.37950134277344,356.29998779296875,2704.419921875,517.5700073242188
2021-08-02,144.69334411621094,166.57400512695312,351.95001220703125,2719.7900390625,515.1500244140625
2021-08-03,146.52288818359375,168.31199645996094,351.239990234375,2725.60009765625,510.82000732421875
2021-08-04,146.11521911621094,167.73599243164062,358.9200134277344,2720.570068359375,517.3499755859375
2021-08-05,146.22459411621094,168.79949951171875,362.9700012207031,2738.800048828125,524.8900146484375
2021-08-06,145.52752685546875,167.2469940185547,363.510009765625,2740.719970703125,520.5499877929688
2021-08-09,145.4777374267578,167.093505859375,361.6099853515625,2760.0400390625,519.969970703125
2021-08-10,144.9897918701172,166.03399658203125,361.1300048828125,2761.929931640625,515.8400268554688
2021-08-11,145.2487030029297,164.60549926757812,359.9599914550781,2753.7900390625,512.4000244140625
2021-08-12,148.2659912109375,165.1750030517578,362.6499938964844,2767.7900390625,510.7200012207031
2021-08-13,148.47512817382812,164.69850158691406,363.17999267578125,2768.1201171875,515.9199829101562
2021-08-16,150.4866485595703,164.94949340820312,366.55999755859375,2778.320068359375,517.9199829101562
2021-08-17,149.560546875,162.09800720214844,358.45001220703125,2746.010009765625,518.9099731445312
2021-08-18,145.74661254882812,160.06100463867188,355.45001220703125,2731.39990234375,521.8699951171875
2021-08-19,146.08517456054688,159.3874969482422,355.1199951171875,2738.27001953125,543.7100219726562
2021-08-20,147.5689239501953,159.99749755859375,359.3699951171875,2768.739990234375,546.8800048828125
2021-08-23,149.08258056640625,163.2935028076172,363.3500061035156,2821.989990234375,553.3300170898438
2021-08-24,148.99293518066406,165.28900146484375,365.510009765625,2847.969970703125,553.4099731445312
2021-08-25,147.7382049560547,164.95899963378906,368.3900146484375,2859.0,547.5800170898438
2021-08-26,146.92164611816406,165.8000030517578,364.3800048828125,2842.4599609375,550.1199951171875
2021-08-27,147.97720336914062,167.48150634765625,372.6300048828125,2891.010009765625,558.9199829101562
2021-08-30,152.478271484375,171.07850646972656,380.6600036621094,2909.389892578125,566.1799926757812
2021-08-31,151.1936798095703,173.5395050048828,379.3800048828125,2909.239990234375,569.1900024414062
2021-09-01,151.8708038330078,173.9499969482422,382.04998779296875,2916.840087890625,582.0700073242188
2021-09-02,153.00604248046875,173.156005859375,375.2799987792969,2884.3798828125,588.5499877929688
2021-09-03,153.6533203125,173.90249633789062,376.260009765625,2895.5,590.530029296875
2021-09-07,156.0333251953125,175.46449279785156,382.17999267578125,2910.3798828125,606.7100219726562
2021-09-08,154.45993041992188,176.27499389648438,377.57000732421875,2897.669921875,606.0499877929688
2021-09-09,153.42430114746094,174.20799255371094,378.0,2898.27001953125,597.5399780273438
2021-09-10,148.34567260742188,173.45750427246094,378.69000244140625,2838.419921875,598.719970703125
2021-09-13,148.92323303222656,172.85850524902344,376.510009765625,2869.300048828125,589.2899780273438
2021-09-14,147.49920654296875,172.5,376.5299987792969,2868.1201171875,577.760009765625
